Name,RAJ2000,DEJ2000,Notes,Young?,vsini (km/s),Per (hrs),Var,Rotation Ref,SpT,Jmag,Gravity,Gravity Ref
2MASS J00361617+1821104,00 36 16.170,18 21 10.40,nan,0,40,2.7,0.022,Vos+17,L3.5,12.47,Field,Martin+17
SIMP J013656.5+093347.3,01 36 56.600,09 33 47.30,Significant variability in Radigan 2014,1,,2.4,0.05,Vos+17,T1.5,13.5,nan,nan
2MASS J03140344+1603056 ,03 14 03.400,16 03 05.60,nan,0,18.1,nan,nan,Crossfield+14,L0,12.526,Field,Cruz+18
2MASS J05233822-1403022,05 23 38.200,-14 03 02.20,nan,0,18,nan,nan,Crossfield+14,L5,13.084,Field,Cruz+18
2MASS J05591914-1404488,05 59 19.140,-14 04 48.80,Significant variability in Radigan 2014; Signs of variability Buenzli 2014; Variable in Koen 2013;,0,24.4,3.5,0.0045,Crossfield+14,T4.5,13.802,5.09,Filippazzo+15
2MASS J06023045+3910592,06 02 30.500,39 10 59.20,nan,0,9,nan,nan,Crossfield+14,L1,12.3,Intermediate,Faherty+16
2MASS J07003664+3157266,07 00 36.600,31 57 26.60,nan,0,41,3.79,0.0041,Miles-Paez+17,L3.5,12.923,Field,Cruz+18
2MASS J08283419-1309198,08 28 34.200,-13 09 19.80,nan,,33,nan,0.03,Crossfield+14,L2,12.803,nan,nan
2MASS J08354256-0819237,08 35 42.600,-08 19 23.70,Variability in Schlawin 2017;,0,20,3.1,0.04,Vos+17,L5,13.2,Field,Cruz+18
USNO-B1.0 0830-00245706,09 09 57.500,-06 58 18.60,nan,0,25,nan,nan,Crossfield+14,L0,13.89,nan,nan
2MASS J09211410-2104446,09 21 14.100,-21 04 44.60,Variable in Koen 2013;,0,15,nan,0.05,Crossfield+14,L1.5,12.779,Field,Martin+17
2MASS J10224821+5825453,10 22 48.200,58 25 45.30,Intermediate gravity Cruz 2009;,0,15,nan,nan,Crossfield+14,L1eta,13.499,13.5,Cruz+09
2MASS J10452400-0149576,10 45 24.000,-01 49 57.60,nan,0,4,nan,nan,Crossfield+14,L1,13.16,Field,Cruz+18
2MASS J10484281+0111580,10 48 42.800,01 11 58.00,nan,0,13,4.7,0.04,Crossfield+14,L4,12.924,Field,Cruz+18
2MASS J12212770+0257198,12 21 27.700,02 57 19.80,nan,0,25,nan,nan,Crossfield+14,L0,13.169,nan,nan
2MASSI J1300425+191235,13 00 42.500,19 12 35.40,nan,0,10,nan,0.04,Crossfield+14,L3,12.717,Field,Martin+17
2MASSW J1412244+163312,14 12 24.500,16 33 11.50,nan,0,17.5,nan,nan,Crossfield+14,L0.5,13.888,nan,nan
2MASSW J1439284+192915,14 39 28.400,19 29 15.00,nan,0,10.5,nan,0.015,Crossfield+14,L1,12.759,Field,Cruz+18
2MASS J15031961+2525196,15 03 19.610,25 25 19.60,nan,0,33,nan,nan,Crossfield+14,T5,13.937,5.01,Filippazzo+15
2MASSI J1506544+132106,15 06 54.400,13 21 06.00,nan,0,20,nan,nan,Crossfield+14,L3,13.365,Field,Martin+17
2MASSW J1507476-162738,15 07 47.700,-16 27 38.60,nan,0,30,2.5,nan,Vos+17,L5,12.83,Field,Martin+17
2MASS J15551573-0956055,15 55 15.700,-09 56 05.50,nan,0,11,nan,nan,Crossfield+14,L1,12.557,nan,nan
2MASS J16452211-1319516,16 45 22.100,-13 19 51.60,nan,0,9,nan,nan,Crossfield+14,L1.5,12.451,nan,nan
2MASS J17054834-0516462,17 05 48.300,-05 16 46.20,nan,0,26,nan,nan,Crossfield+14,L4,13.309,nan,nan
2MASSI J1721039+334415,17 21 03.633,33 44 16.923120330,nan,0,,2.6,nan,Vos+17,L3,13.6,Field,Martin+17
2MASS J17312974+2721233,17 31 29.700,27 21 23.30,nan,0,15,nan,nan,Crossfield+14,L0,12.094,Field,Martin+17
2MASS J18071593+5015316,18 07 15.900,50 15 31.60,nan,0,76,1.71,0.0048,Miles-Paez+17,L1,12.934,Field,Cruz+18
2MASS J18212815+1414010,18 21 28.1578,14 14 00.846769901,Variability in Schlawin 2017;,1,29,4.2,nan,Vos+17,L4.5,13.43,Field,Martin+17
WISEP J190648.47+401106.8,19 06 48.500,40 11 06.80,nan,0,11.2,8.9,0.015,Crossfield+14,L1,13.078,5.22,Filippazzo+15
2MASS J20575409-0252302,20 57 54.100,-02 52 30.20,nan,0,62,nan,0.02,Crossfield+14,L1.5,13.121,Intermediate,Faherty+16
2MASS J21041491-1037369,21 04 14.900,-10 37 36.90,nan,0,27,nan,nan,Crossfield+14,L2.5,13.841,Field,Martin+17
2MASS J23515044-2537367,23 51 50.440,-25 37 36.70,nan,0,38.5,nan,0.03,Crossfield+14,L0.5,12.471,5.22,Filippazzo+15
2MASS J07584037+3247245,07 58 40.37448,32 47 24.5544,Significant variability in Radigan 2014;,,,4.9,4.8,Radigan+14,T2,14.95,nan,nan
2MASS J08173001-6155158,08 17 29.9988,-61 55 15.662,Significant variability in Radigan 2014; Signs of variability in Buenzli 2014;,,,2.8,0.6,Radigan+14,T6.5,13.61,5,Filippazzo+15
2MASS J11263991-5003550,11 26 39.8035,-50 03 54.849,Significant variability in Radigan 2014;,,,4,1.2,Radigan+14,L6.5,14,nan,nan
2MASS J16291840+0335371,16 29 18.409,03 35 37.10,Significant variability in Radigan 2014;,,,6.9,4.3,Radigan+14,T2,15.06,nan,nan
2MASS J18283572-4849046,18 28 35.723,-48 49 04.64,Significant variability in Radigan 2014;,,,4,0.012,Crossfield+14,T5.5,15.18,5.01,Filippazzo+15
2MASS J21392676+0220226,21 39 26.769,02 20 22.70,Significant variability in Radigan 2014;,,23.3,7.72,0.13,Crossfield+14,L8.5+T3.5,15.26,5.01,Filippazzo+15
2MASS J22282889-4310262,22 28 28.894,-43 10 26.27,Significant variability in Radigan 2014;,,,1.42,0.0195,Crossfield+14,T6.5,15.66,4.97,Filippazzo+15
2MASS J00452143+1634446,00 45 21.4154,16 34 44.738,Significant variability in Vos 2018; Intermediate gravity Cruz 2009;,,3.16,4.3,1,Vos+18,L0beta,13.06,13.06,Cruz+09
2MASS J04473039-1216155,04 47 30.396,-12 16 15.54,Significant variability in Vos 2018;,1,,3,4.5,Vos+18,T2,16.48,4.36,Filippazzo+15
2MASS J05012406-0010452,05 01 24.0863,-00 10 45.584,Significant variability in Vos 2018; Intermediate gravity Cruz 2009;,,21.77,4,2,Vos+18,L4,14.98,14.98,Cruz+09
2MASS J14252798-3650229,14 25 27.9829,-36 50 23.251,Significant variability in Vos 2018;,1,5.37,2.5,0.7,Vos+18,L4,13.747,4.43,Filippazzo+15
2MASS J20025073-0521524,20 02 50.7114,-05 21 52.582,Significant variability in Vos 2018;,,,8,1.7,Vos+18,L5.5,15.32,nan,nan
2MASS J21140802-2251358,21 14 08.026,-22 51 35.84,Significant variability in Vos 2018;,1,,10,10,Vos+18,L7+1,16.71,3.9,Filippazzo+15
2MASS J22443167+2043433,22 44 31.674,20 43 43.30,Significant variability in Vos 2018;,1,,11,5.5,Vos+18,L6-L8gamma,16.48,4.21,Filippazzo+15
2MASS J01443536-0716142,01 44 35.4046,-07 16 14.314,Variable in Koen 2013;,,,nan,0.02,Crossfield+14,L5,14.19,nan,nan
DENIS J025503.3-470049,02 55 03.6945,-47 00 51.345,Variable in Koen 2013;,,,nan,0.03,Crossfield+14,L8,13.25,5.09,Filippazzo+15
DENIS-P J0716478-063037,07 16 47.9039,-06 30 36.942,Variable in Koen 2013;,,,nan,0.04,Crossfield+14,L1,13.9,nan,nan
2MASS J07464256+2000321,07 46 42.4953,20 00 32.612,Variable in Koen 2013;,,19,3.3,0.0015,Crossfield+14,L0+L1.5,11.76,nan,nan
DENIS-P J0751164-253043,07 51 16.3951,-25 30 43.042,Variable in Koen 2013;,,,nan,0.05,Crossfield+14,L1.5,13.16,5.22,Filippazzo+15
SSSPM J0829-1309,08 28 34.1713,-13 09 19.842,Variable in Koen 2013;,,,nan,nan,nan,L2,12.8,nan,nan
2MASS J08354256-0819237,08 35 42.5323,-08 19 23.389,Variable in Koen 2013;,,20,nan,0.04,Crossfield+14,L5,13.17,5.19,Filippazzo+15
2MASS J08472872-1532372,08 47 28.7416,-15 32 37.377,Variable in Koen 2013;,,,nan,nan,nan,L2,13.51,5.19,Filippazzo+15
2MASS J10484281+0111580,10 48 42.8148,01 11 58.221,Variable in Koen 2013;,,,nan,nan,nan,L1,12.92,nan,nan
2MASS J11592743-5247188,11 59 27.3607,-52 47 18.910,Variable in Koen 2013;,,,nan,0.02,Crossfield+14,M9,11.43,nan,nan
2MASS J12321827-0951502,12 32 18.275,-09 51 50.26,Variable in Koen 2013;,,,nan,0.03,Crossfield+14,L0,13.73,nan,nan
2MASS J14090310-3357565,14 09 03.1114,-33 57 56.493,Variable in Koen 2013;,,,nan,nan,nan,L2,14.25,nan,nan
2MASS J14413716-0945590,14 41 37.1670,-09 45 59.155,Variable in Koen 2013;,,,nan,0.03,Crossfield+14,L0.5,14.02,nan,nan
2MASS J17054834-0516462,17 05 48.3507,-05 16 46.341,Variable in Koen 2013;,,,nan,nan,nan,L4,13.31,nan,nan
2MASS J06244595-4521548,06 24 45.9446,-45 21 54.729,Signs of variability Buenzli 2014; Constant in Koen 2013;,,,nan,0.004,Crossfield+14,L6.5,14.48,5.14,Filippazzo+15
2MASS J17502484-0016151,17 50 24.8105,-00 16 15.003,Signs of variability Buenzli 2014; Constant in Koen 2013;,,19,nan,0.004,Crossfield+14,L5,13.29,nan,nan
2MASS J03105986+1648155,03 10 59.87,16 48 15.6,Signs of variability Buenzli 2014;,,,nan,0.008,Crossfield+14,L8,16.03,nan,nan
2MASS J08251968+2115521,08 25 19.6171,21 15 51.565,Signs of variability Buenzli 2014;,,66,nan,0.006,Crossfield+14,L7.5,15.1,5.11,Filippazzo+15
2MASS J12195156+3128497,12 19 51.561,31 28 49.71,Signs of variability Buenzli 2014;,,63,nan,0.01,Crossfield+14,L9,15.91,nan,nan
2MASS J10393137+3256263,10 39 31.38,32 56 26.4,Signs of variability Buenzli 2014;,,,nan,nan,nan,L7.0+T4.0,16.16,nan,nan
2MASS J16241436+0029158,16 24 14.367,00 29 15.82,Signs of variability Buenzli 2014;,,,nan,nan,nan,T6,15.49,4.98,Filippazzo+15
2MASS J17503293+1759042,17 50 32.94,17 59 04.3,Signs of variability Buenzli 2014;,,,nan,nan,nan,T3.5,16.14,5.02,Filippazzo+15
2MASS J23391025+1352284,23 39 10.25,13 52 28.5,Signs of variability Buenzli 2014;,,,nan,0.0014,Crossfield+14,T5.4,15.85,nan,nan
EROS-MP J0032-4405,00 32 55.8473,-44 05 05.754,Very low gravity Cruz 2009;,,12.95,nan,nan,nan,L0.5,14.78,nan,nan
2MASS J00374306-5846229,00 37 43.0571,-58 46 22.834,Very low gravity Cruz 2009;,,6.62,nan,nan,nan,L0,15.37,nan,nan
2MASS J01244599-5745379,01 24 46.0750,-57 45 37.346,Very low gravity Cruz 2009;,,,nan,nan,nan,L0gamma,16.31,nan,nan
2MASS J01415823-4633574,01 41 58.2345,-46 33 57.347,Very low gravity Cruz 2009;,1,6.41,nan,nan,nan,L2,14.83,4.25,Filippazzo+15
2MASS J02235464-5815067,02 23 54.6559,-58 15 06.617,Very low gravity Cruz 2009;,,10.36,nan,nan,nan,L1.5,15.07,nan,nan
2MASS J02411151-0326587,02 41 11.52,-03 26 58.8,Very low gravity Cruz 2009;,1,6.34,nan,nan,nan,L0,15.8,4.44,Filippazzo+15
2MASS J03231002-4631237,03 23 10.0110,-46 31 23.567,Very low gravity Cruz 2009;,1,13,nan,nan,nan,L0gamma,15.39,4.29,Filippazzo+15
2MASS J19564700-7542270,19 56 47.002,-75 42 27.04,Very low gravity Cruz 2009;,,,nan,nan,nan,"	L2gamma",16.15,nan,nan
2MASS J22134491-2136079,22 13 44.9154,-21 36 08.244,Very low gravity Cruz 2009;,,4.92,nan,nan,nan,L1.9,15.38,nan,nan
2MASS J03572695-4417305,03 57 26.9620,-44 17 30.499,Intermediate gravity Cruz 2009;,1,10.73,nan,nan,nan,L0.6,14.37,nan,nan
2MASS J15525906+2948485,15 52 59.0621,29 48 48.576,Intermediate gravity Cruz 2009;,1,19.9,nan,nan,nan,L0,13.48,4.48,Filippazzo+15
G 196-3B,10 04 20.6389,50 22 59.448,Intermediate gravity Cruz 2009;,,,nan,nan,nan,L2,14.83,nan,nan
2MASS J03552337+1133437,03 55 23.3772,11 33 43.796,Intermediate gravity Cruz 2009;,1,11.92,nan,nan,nan,L3-L6,14.05,4.45,Filippazzo+15
2MASS J06411840-4322329,06 41 18.4211,-43 22 32.490,Variable in Koen 2013;,,,nan,nan,nan,L1.5,13.75,5.2,Filippazzo+15
2MASS J02284355-6325052,02 28 43.4707,-63 25 05.595,Variable in Koen 2013;,,,nan,0.01,Crossfield+14,L0.5,13.56,nan,nan
2MASS J09211410-2104446,09 21 14.1078,-21 04 44.422,Variable in Koen 2013;,,,nan,0.05,Crossfield+14,L2,12.78,nan,nan
2MASS J15394189-0520428,15 39 41.9237,-05 20 42.764,Variable in Koen 2013;,,27.33,2.51,0.015,Miles-Paez+17,L4,13.92,5.19,Filippazzo+15
2MASS J13411160-3052505,13 41 11.6185,-30 52 50.558,Variable in Koen 2013;,,,nan,nan,nan,L3,14.61,nan,nan
2MASS J19090821-1937479,19 09 08.2038,-19 37 48.058,Variable in Koen 2013;,,,nan,nan,nan,L1.4,14.52,nan,nan
2MASSI J2026158-294312,20 26 15.8434,-29 43 12.990,Variable in Koen 2013;,,,nan,nan,nan,L1,14.8,nan,nan
2MASS J22000201-3038327,22 00 02.0188,-30 38 32.712,Variable in Koen 2013;,,24,nan,nan,nan,L0,13.44,nan,nan
2MASS J22431696-5932206,22 43 16.9745,-59 32 20.424,Variable in Koen 2013;,,,nan,0.03,Crossfield+14,L0,14.07,nan,nan
2MASS J23515044-2537367,23 51 50.4655,-25 37 36.839,Variable in Koen 2013;,,5.68,nan,0.03,Crossfield+14,M9,12.47,5.22,Filippazzo+15
