Name,RAJ2000,DEJ2000,Notes,Young?,vsini (km/s),Per (hrs),Var,Rotation Ref,SpT,Jmag,Gravity,Gravity Ref,Index
EROS-MP J0032-4405,,,Very low gravity Cruz 2009;,,,,,,,14.78 +or- 0.04,,,0
2MASS J00374306-5846229,,,Very low gravity Cruz 2009;,,,,,,,15.37 +or- 0.05,,,1
2MASS J01244599-5745379,,,Very low gravity Cruz 2009;,,,,,,,16.31 +or- 0.11,,,2
2MASS J01415823-4633574,,,Very low gravity Cruz 2009;,,,,,,,14.83 +or- 0.04,,,3
2MASS J02235464-5815067,,,Very low gravity Cruz 2009;,,,,,,,15.07 +or- 0.05,,,4
2MASS J02411151-0326587,,,Very low gravity Cruz 2009;,,,,,,,15.80 +or- 0.07,,,5
2MASS J03231002-4631237,,,Very low gravity Cruz 2009;,,,,,,,15.39 +or- 0.07,,,6
2MASS J19564700-7542270,,,Very low gravity Cruz 2009;,,,,,,,16.15 +or- 0.10,,,7
2MASS J22134491-2136079,,,Very low gravity Cruz 2009;,,,,,,,15.38 +or- 0.04,,,8
2MASS J03572695-4417305,,,Intermediate gravity Cruz 2009;,,,,,,,14.37 +or- 0.03,,,9
2MASS J15525906+2948485,,,Intermediate gravity Cruz 2009;,,,,,,,13.48 +or- 0.03,,,10
2MASS J10224821+5825453,,,Intermediate gravity Cruz 2009;,,,,,,,13.50 +or- 0.03,,,11
2MASS J00452143+1634446,,,Intermediate gravity Cruz 2009;,,,,,,,13.06 +or- 0.02,,,12
G 196-3B,,,Intermediate gravity Cruz 2009;,,,,,,,14.83 +or- 0.05,,,13
2MASS J05012406-0010452,,,Intermediate gravity Cruz 2009;,,,,,,,14.98 +or- 0.04,,,14
2MASS J03552337+1133437,,,Intermediate gravity Cruz 2009;,,,,,,,14.05 +or- 0.02,,,15
